,estuary,tidal_phase,discharge,best_C_k,min_error,observed_residence_time,modeled_flushing_time,S_in_mean,S_out_mean,eta,Ro_s,vel_tide,ur,within_percent
0,Dee,spring,1,0.8286427728546842,[150.29691194],124,[274.29691194],25.898472935016812,25.87357199719608,21.026239379811326,1019.850615801396,0.5122197051258203,5.2631578947368424e-05,no
1,Dee,spring,2,0.47148663634573945,[74.2226136],124,[198.2226136],25.898472935016812,25.862483255505254,21.026239379811326,1019.850615801396,0.5122197051258203,0.00010526315789473685,no
2,Dee,spring,5,0.20235896477251575,[2.43282272],124,[126.43282272],25.898472935016812,25.84108446799372,21.026239379811326,1019.850615801396,0.5122197051258203,0.0002631578947368421,yes
3,Dee,spring,10,0.03727593720314938,[1.25698962],124,[125.25698962],25.898472935016812,25.784763433581485,21.026239379811326,1019.850615801396,0.5122197051258203,0.0005263157894736842,yes
4,Dee,spring,20,0.0,[111.60121925],187,[75.39878075],25.898472935016812,25.7615774564697,21.026239379811326,1019.850615801396,0.5122197051258203,0.0010526315789473684,no
5,Dee,spring,30,0.0,[136.73414617],187,[50.26585383],25.898472935016812,25.7615774564697,21.026239379811326,1019.850615801396,0.5122197051258203,0.0015789473684210528,no
6,Dee,spring,40,0.0,[149.30060963],187,[37.69939037],25.898472935016812,25.7615774564697,21.026239379811326,1019.850615801396,0.5122197051258203,0.002105263157894737,no
7,Dee,spring,50,0.0,[156.8404877],187,[30.1595123],25.898472935016812,25.7615774564697,21.026239379811326,1019.850615801396,0.5122197051258203,0.002631578947368421,no
8,Dee,neap,1,4.498432668969444,[678.79100032],136,[814.79100032],26.868385660460593,26.791648022879695,0.08387859983595645,1020.566262691077,0.03235518418713187,5.2631578947368424e-05,no
9,Dee,neap,2,3.39322177189533,[301.36926617],136,[-165.36926617],26.868385660460593,26.89953486758031,0.08387859983595645,1020.566262691077,0.03235518418713187,0.00010526315789473685,no
10,Dee,neap,5,1.4563484775012443,[100.51219203],136,[236.51219203],26.868385660460593,26.757011167685395,0.08387859983595645,1020.566262691077,0.03235518418713187,0.0002631578947368421,no
11,Dee,neap,10,0.8286427728546842,[39.51640975],136,[175.51640975],26.868385660460593,26.70308296768087,0.08387859983595645,1020.566262691077,0.03235518418713187,0.0005263157894736842,yes
12,Dee,neap,20,0.6250551925273969,[24.00436647],66,[41.99563353],26.868385660460593,26.789282044819686,0.08387859983595645,1020.566262691077,0.03235518418713187,0.0010526315789473684,no
13,Dee,neap,30,0.35564803062231287,[13.52651755],66,[79.52651755],26.868385660460593,26.643689618914777,0.08387859983595645,1020.566262691077,0.03235518418713187,0.0015789473684210528,yes
14,Dee,neap,40,0.2682695795279725,[4.00216089],66,[70.00216089],26.868385660460593,26.6046713852525,0.08387859983595645,1020.566262691077,0.03235518418713187,0.002105263157894737,yes
15,Dee,neap,50,0.20235896477251575,[0.47710547],66,[66.47710547],26.868385660460593,26.55534243680457,0.08387859983595645,1020.566262691077,0.03235518418713187,0.002631578947368421,yes
16,Kent,spring,1,1.4563484775012443,[118.1826185],88,[206.1826185],27.59701763812046,27.584987298788935,24.90623761536712,1021.1029964400559,0.5122197051258203,3.809523809523809e-05,no
17,Kent,spring,2,0.8286427728546842,[168.79651642],88,[256.79651642],27.59701763812046,27.56705052203549,24.90623761536712,1021.1029964400559,0.5122197051258203,7.619047619047618e-05,no
18,Kent,spring,5,0.47148663634573945,[10.25138119],88,[77.74861881],27.59701763812046,27.574335263786804,24.90623761536712,1021.1029964400559,0.5122197051258203,0.00019047619047619048,yes
19,Kent,spring,10,0.2682695795279725,[20.14662362],88,[67.85337638],27.59701763812046,27.557426563541142,24.90623761536712,1021.1029964400559,0.5122197051258203,0.00038095238095238096,yes
