estuary,discharge,C_k_value,flushing_time,S_in_mean,S_out_mean,Q_out_mean,eta,vel_tide,ur,Ro_s,tidal_phase,flushing_time_spring,flushing_time_neap,S_in_mean_spring,S_out_mean_spring,S_in_mean_neap,S_out_mean_neap,eta_spring,vel_tide_spring,ur_spring,Ro_s_spring,eta_neap,vel_tide_neap,ur_neap,Ro_s_neap
Dee,1,0.0,[557.95097755],25.898472935016812,25.7615774564697,1,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,spring,[-606.91565962],[-126.4802381],25.898472935016812,26.047382091922838,26.868385660460593,26.900580269240326,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077
Dee,1,0.0,[557.95097755],25.898472935016812,25.7615774564697,1,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,spring,[-3664.19014147],[-3996.22136081],25.898472935016812,26.79749647487863,26.868385660460593,27.885594239787142,21.026239379811326,0.5122197051258203,0.0005263157894736842,1019.850615801396,0.08387859983595645,0.03235518418713187,0.0005263157894736842,1020.566262691077
Dee,1,0.0,[2492.81653488],26.868385660460593,26.23385765587074,1,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077,neap,[-606.91565962],[-126.4802381],25.898472935016812,26.047382091922838,26.868385660460593,26.900580269240326,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077
Dee,1,0.0,[2492.81653488],26.868385660460593,26.23385765587074,1,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077,neap,[-3664.19014147],[-3996.22136081],25.898472935016812,26.79749647487863,26.868385660460593,27.885594239787142,21.026239379811326,0.5122197051258203,0.0005263157894736842,1019.850615801396,0.08387859983595645,0.03235518418713187,0.0005263157894736842,1020.566262691077
Dee,1,0.0655128556859551,[521.86296415],25.898472935016812,25.770431793253383,1,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,spring,[-606.91565962],[-126.4802381],25.898472935016812,26.047382091922838,26.868385660460593,26.900580269240326,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077
Dee,1,0.0655128556859551,[521.86296415],25.898472935016812,25.770431793253383,1,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,spring,[-3664.19014147],[-3996.22136081],25.898472935016812,26.79749647487863,26.868385660460593,27.885594239787142,21.026239379811326,0.5122197051258203,0.0005263157894736842,1019.850615801396,0.08387859983595645,0.03235518418713187,0.0005263157894736842,1020.566262691077
Dee,1,0.0655128556859551,[2460.90293187],26.868385660460593,26.241981027388324,1,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077,neap,[-606.91565962],[-126.4802381],25.898472935016812,26.047382091922838,26.868385660460593,26.900580269240326,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077
Dee,1,0.0655128556859551,[2460.90293187],26.868385660460593,26.241981027388324,1,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077,neap,[-3664.19014147],[-3996.22136081],25.898472935016812,26.79749647487863,26.868385660460593,27.885594239787142,21.026239379811326,0.5122197051258203,0.0005263157894736842,1019.850615801396,0.08387859983595645,0.03235518418713187,0.0005263157894736842,1020.566262691077
Dee,1,0.1151395399326447,[494.52591057],25.898472935016812,25.77713904744306,1,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,spring,[-606.91565962],[-126.4802381],25.898472935016812,26.047382091922838,26.868385660460593,26.900580269240326,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077
Dee,1,0.1151395399326447,[494.52591057],25.898472935016812,25.77713904744306,1,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,spring,[-3664.19014147],[-3996.22136081],25.898472935016812,26.79749647487863,26.868385660460593,27.885594239787142,21.026239379811326,0.5122197051258203,0.0005263157894736842,1019.850615801396,0.08387859983595645,0.03235518418713187,0.0005263157894736842,1020.566262691077
Dee,1,0.1151395399326447,[2436.72803851],26.868385660460593,26.24813456762254,1,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077,neap,[-606.91565962],[-126.4802381],25.898472935016812,26.047382091922838,26.868385660460593,26.900580269240326,21.026239379811326,0.5122197051258203,5.2631578947368424e-05,1019.850615801396,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077
Dee,1,0.1151395399326447,[2436.72803851],26.868385660460593,26.24813456762254,1,0.08387859983595645,0.03235518418713187,5.2631578947368424e-05,1020.566262691077,neap,[-3664.19014147],[-3996.22136081],25.898472935016812,26.79749647487863,26.868385660460593,27.885594239787142,21.026239379811326,0.5122197051258203,0.0005263157894736842,1019.850615801396,0.08387859983595645,0.03235518418713187,0.0005263157894736842,1020.566262691077
